_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
1,001052,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-28,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.9850800851254481
2,001053,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.973195564516129
3,001054,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.8119707661290323
4,001055,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9325257616487455
5,001056,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.7416168234767025
6,001057,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Replacement Program,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.8810147849462366
7,001058,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.996476814516129
8,001059,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1
9,001060,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1
10,001061,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-18,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9193548387096774
11,001062,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2015-04-24,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1
